"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
72,"22 JANE STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",615,66,10014,1,0,"1","1,716","2,760",1910,1,"A5",3450000,"2/1/20",40.73795935,-74.0031354412456,0,1,34,4,12
73,"22 WEST 74TH STREET, Manhattan","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1126,45,10023,1,0,"1","2,554","9,325",1920,1,"A4",18200000,"2/5/20",40.7778484,-73.9762552032363,0,1,8,2,8
74,"221 EAST 59TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1414,11,10022,1,1,"2","2,209","4,800",1915,1,"S1",5425000,"3/11/20",40.7613252,-73.965456016015,1,0,17,3,15
75,"226 EAST 79TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1433,36,10075,2,0,"2","1,830","3,316",1901,1,"B9",6700000,"3/25/20",40.77361855,-73.956280005045,1,1,7,1,15
76,"23 PERRY, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",613,31,10014,1,0,"1","1,248","2,660",1910,1,"A4",14100000,"8/19/19",40.73585215,-74.0021245069139,0,1,30,6,12
77,"232 WEST BROADWAY, Manhattan","TRIBECA","01 ONE FAMILY DWELLINGS",189,39,10013,1,0,"1","2,802","10,916",1915,1,"A4",26777133,"6/25/19",40.7193668888889,-74.006326,0,0,14,5,14
78,"235 EAST 22ND STREET, Manhattan","GRAMERCY","02 TWO FAMILY DWELLINGS",902,55,10010,2,1,"3","1,650","4,488",1910,1,"S2",425000,"9/18/19",40.737428,-73.9816241,2,1,21,0,10
79,"235 EAST 72ND STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1427,16,10021,1,0,"1","1,788","2,634",1910,1,"A4",10750000,"12/17/19",40.76934885,-73.9590728267174,4,0,13,3,15
80,"237 EAST 32ND STREET, Manhattan","MURRAY HILL","02 TWO FAMILY DWELLINGS",913,19,10016,2,0,"2","1,761","3,456",1899,1,"B9",4687500,"6/26/19",40.7439692,-73.9775678229183,3,1,24,1,9
81,"237 EAST 61ST STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1416,16,10065,2,0,"2","2,008","5,640",1905,1,"B1",6400000,"4/30/19",40.7623678,-73.9641937979549,1,0,18,3,15
